CALENDAR YEAR,CATEGORY,AGENCY NAME,1. PIT OFFSET COUNT,1. PIT OFFSET AMOUNT,2. LOTTERY OFFSET COUNT,2. LOTTERY OFFSET AMOUNT,3. UNCLAIMED PROPERTY OFFSET COUNT,3. UNCLAIMED PROPERTY OFFSET AMOUNT,Total OFFSET COUNT,Total OFFSET AMOUNT
CY2018,2 - CITY,OF MURRIETA,159,"$35,347.93",4,$70.56,,,163,"$35,418.49"
CY2018,2 - CITY,CITY OF OAKLAND PARKING,"3,333","$778,333.26",19,"$6,215.00",65,"$7,777.35","3,417","$792,325.61"
CY2018,2 - CITY,CITY OF CULVER,510,"$75,335.07",2,$217.00,13,"$1,283.89",525,"$76,835.96"
CY2018,2 - CITY,CITY OF MENIFEE,69,"$14,415.42",8,$458.17,,,77,"$14,873.59"
CY2018,2 - CITY,CITY OF SAN,179,"$19,285.52",4,$577.00,8,$439.37,191,"$20,301.89"
CY2018,2 - CITY,CITY OF SANTA,770,"$110,243.30",5,"$1,605.00",10,"$1,150.81",785,"$112,999.11"
CY2018,2 - CITY,VALLEY CITY OF,89,"$9,991.46",1,$261.00,1,$2.50,91,"$10,254.96"
CY2018,2 - CITY,CITY OF RIPON,6,$558.00,,,2,$161.00,8,$719.00
CY2018,2 - CITY,,29,"$5,428.00",1,$60.78,,,30,"$5,488.78"
CY2018,2 - CITY,OF BELLFLOWER,"1,823","$335,858.86",15,"$4,811.00",54,"$1,932.65","1,892","$342,602.51"
CY2018,2 - CITY,CITY POLICE DEPT,16,"$2,159.00",,,,,16,"$2,159.00"
CY2018,2 - CITY,OF SAN DIEGO,"14,718","$2,013,031.85",54,"$12,317.21",359,"$34,383.12","15,131","$2,059,732.18"
CY2018,2 - CITY,CITY OF SAN LEANDRO,345,"$52,239.04",3,$413.92,8,$506.55,356,"$53,159.51"
CY2018,2 - CITY,CITY OF SAN CARLOS,57,"$7,239.57",1,$90.00,3,$103.00,61,"$7,432.57"
CY2018,2 - CITY,CITY OF SANTA ANA,"1,520","$217,810.17",26,"$7,965.00",46,"$2,724.19","1,592","$228,499.36"
CY2018,2 - CITY,CITY OF SEAL BEACH,245,"$22,950.10",1,$76.00,3,$122.22,249,"$23,148.32"
CY2018,2 - CITY,CITY OF RICHMOND,"1,210","$102,608.77",8,$644.30,20,"$1,598.19","1,238","$104,851.26"
CY2018,2 - CITY,CITY OF PACIFIC GROVE,25,"$2,540.00",,,1,$34.00,26,"$2,574.00"
CY2018,2 - CITY,CITY OF EL MONTE (PARKING),585,"$72,166.96",5,"$1,191.00",10,$495.85,600,"$73,853.81"
CY2018,2 - CITY,CITY OF POMONA,57,"$39,236.49",2,"$1,012.00",6,"$1,372.14",65,"$41,620.63"
CY2018,2 - CITY,CITY OF TEMPLE CITY,144,"$24,214.26",,,6,"$1,755.12",150,"$25,969.38"
CY2018,2 - CITY,CITY OF PALMDALE,3,$359.84,,,,,3,$359.84
CY2018,2 - CITY,CITY OF SOUTH SAN FRANCISCO,227,"$37,911.00",2,$836.48,6,$531.27,235,"$39,278.75"
CY2018,2 - CITY,CITY OF TURLOCK,83,"$12,879.92",,,,,83,"$12,879.92"
CY2018,2 - CITY,CITY OF TUSTIN,370,"$60,503.00",6,$469.00,3,$127.04,379,"$61,099.04"
CY2018,2 - CITY,CITY OF VICTORVILLE,156,"$51,547.83",2,"$1,928.00",4,$178.34,162,"$53,654.17"
CY2018,2 - CITY,CITY OF WEST HOLLYWOOD,575,"$71,190.10",1,$79.00,11,$674.77,587,"$71,943.87"
CY2018,2 - CITY,CITY OF ORANGE,76,"$11,244.16",3,"$1,183.50",9,$755.20,88,"$13,182.86"
CY2018,2 - CITY,CITY OF YUBA CITY,105,"$16,201.11",,,3,$532.98,108,"$16,734.09"
CY2018,2 - CITY,CITY OF IMPERIAL BEACH,1,$551.00,,,,,1,$551.00
CY2018,2 - CITY,CITY OF LOS ANGELES,639,"$109,575.19",4,$926.00,15,"$1,757.05",658,"$112,258.24"
CY2018,2 - CITY,CITY OF ARCADIA,127,"$22,428.35",1,$143.00,,,128,"$22,571.35"
CY2018,2 - CITY,CITY OF WESTMINSTER,513,"$65,924.65",4,$669.58,4,$536.90,521,"$67,131.13"
CY2018,2 - CITY,CITY OF COSTA MESA,388,"$37,016.68",7,"$1,004.50",11,$761.63,406,"$38,782.81"
CY2018,2 - CITY,CITY OF SOUTH LAKE TAHOE,40,"$8,150.52",1,$450.00,,,41,"$8,600.52"
CY2018,2 - CITY,CITY OF INDIO,55,"$31,097.51",,,,,55,"$31,097.51"
CY2018,2 - CITY,CITY OF ANAHEIM,"1,332","$165,603.41",11,"$1,425.00",11,$849.78,"1,354","$167,878.19"
CY2018,2 - CITY,CITY OF VISTA,784,"$143,055.62",2,$974.00,12,$908.98,798,"$144,938.60"
CY2018,2 - CITY,CITY OF PALO ALTO,391,"$58,645.11",2,$211.00,8,$299.85,401,"$59,155.96"
CY2018,2 - CITY,CITY OF,20,"$2,686.00",,,,,20,"$2,686.00"
CY2018,2 - CITY,CITY OF BUENA,19,"$6,185.22",,,,,19,"$6,185.22"
CY2018,2 - CITY,CITY OF RANCHO MIRAGE,17,"$3,173.82",1,$12.00,,,18,"$3,185.82"
CY2018,2 - CITY,CITY OF TORRANCE,42,"$5,108.43",1,$278.00,,,43,"$5,386.43"
CY2018,2 - CITY,CITY OF UNION CITY,195,"$37,571.04",1,$328.00,12,"$1,155.20",208,"$39,054.24"
CY2018,2 - CITY,CITY OF ALAMEDA,254,"$43,125.32",1,$251.00,5,$338.38,260,"$43,714.70"
CY2018,2 - CITY,CITY OF CERES,86,"$11,894.12",3,$140.80,,,89,"$12,034.92"
CY2018,2 - CITY,BEACH CITY OF,8,"$1,133.00",,,,,8,"$1,133.00"
CY2018,2 - CITY,CODE CITY OF LOS,2,"$1,694.00",,,,,2,"$1,694.00"
CY2018,2 - CITY,CITY OF NORWALK,797,"$149,071.32",2,$197.00,13,$977.57,812,"$150,245.89"
CY2018,2 - CITY,CITY OF SAN JOSE,37,"$28,069.87",4,"$2,690.47",,,41,"$30,760.34"
CY2018,2 - CITY,CITY OF,32,"$4,088.70",1,$58.21,,,33,"$4,146.91"
CY2018,2 - CITY,CITY OF ESCALON,5,"$1,317.50",,,,,5,"$1,317.50"
CY2018,2 - CITY,CITY OF LOS ANGELES (LADOT),"15,740","$3,114,429.09",91,"$24,714.96",309,"$28,589.03","16,140","$3,167,733.08"
CY2018,2 - CITY,MENLO PARK POLICE DEPARTMENT,139,"$24,335.66",2,$374.00,1,$116.00,142,"$24,825.66"
CY2018,2 - CITY,CITY OF LONG,267,"$76,233.90",11,"$1,387.52",,,278,"$77,621.42"
CY2018,2 - CITY,CITY OF LOS ANGELES,127,"$49,586.92",1,"$1,505.94",2,"$1,091.05",130,"$52,183.91"
CY2018,2 - CITY,CITY OF COTATI,7,$506.23,,,3,$39.25,10,$545.48
CY2018,2 - CITY,OF LODI,86,"$12,451.17",7,$96.25,,,93,"$12,547.42"
CY2018,2 - CITY,CITY OF RIALTO,347,"$70,731.38",2,$288.00,10,"$1,585.67",359,"$72,605.05"
CY2018,2 - CITY,CITY OF GLENDALE,"1,188","$180,765.09",7,"$1,347.00",28,"$2,233.95","1,223","$184,346.04"
CY2018,2 - CITY,OF NORCO,120,"$25,233.87",9,$811.78,,,129,"$26,045.65"
CY2018,2 - CITY,CITY OF EASTVALE,4,$639.29,,,,,4,$639.29
CY2018,2 - CITY,CITY OF,241,"$34,630.08",1,$160.00,3,$79.35,245,"$34,869.43"
CY2018,2 - CITY,CITY OF OAKLAND - RMB,191,"$61,306.28",1,"$1,000.00",14,"$3,331.76",206,"$65,638.04"
CY2018,2 - CITY,FOUNTAIN VALLEY CITY,43,"$4,334.48",6,$252.46,,,49,"$4,586.94"
CY2018,2 - CITY,CITY OF LONG BEACH,"6,383","$1,055,442.20",35,"$9,103.00",142,"$12,421.63","6,560","$1,076,966.83"
CY2018,2 - CITY,OF GLENDORA,127,"$16,671.89",1,$192.00,,,128,"$16,863.89"
CY2018,2 - CITY,CITY OF PORT,307,"$39,795.98",1,$106.00,6,$302.50,314,"$40,204.48"
CY2018,2 - CITY,SANTE FE SPRINGS CITY,163,"$18,567.32",6,$481.70,,,169,"$19,049.02"
CY2018,2 - CITY,SAN FRANCISCO MUNICIPAL TRANS AGNC,"3,500","$839,119.25",10,"$3,086.00",87,"$9,927.34","3,597","$852,132.59"
CY2018,2 - CITY,OF JURUPA VALLEY,152,"$29,212.12",4,"$1,400.00",,,156,"$30,612.12"
CY2018,2 - CITY,CITY,207,"$34,851.03",4,$450.00,5,$437.00,216,"$35,738.03"
CY2018,2 - CITY,OF NAPA,137,"$33,822.27",3,"$1,740.00",5,$389.53,145,"$35,951.80"
CY2018,2 - CITY,OF LOMA LINDA,1,$24.00,,,,,1,$24.00
CY2018,2 - CITY,OF POMONA,38,"$7,515.12",,,1,$391.15,39,"$7,906.27"
CY2018,2 - CITY,CITY OF SOUTH EL MONTE,201,"$22,662.40",1,$100.00,1,$52.17,203,"$22,814.57"
CY2018,2 - CITY,CITY OF COLTON,204,"$38,032.98",2,$398.00,3,$151.29,209,"$38,582.27"
CY2018,2 - CITY,CITY OF FREMONT,247,"$45,549.31",3,"$1,008.00",7,$255.27,257,"$46,812.58"
CY2018,2 - CITY,CITY OF YORBA LINDA,26,"$5,762.29",,,4,"$1,253.40",30,"$7,015.69"
CY2018,2 - CITY,CITY OF SOLANA BEACH,28,"$3,016.86",,,,,28,"$3,016.86"
CY2018,2 - CITY,CITY OF EASTVALE,249,"$19,087.46",1,$126.00,4,$133.10,254,"$19,346.56"
CY2018,2 - CITY,CITY OF HAYWARD,349,"$81,937.92",13,"$3,025.00",8,$805.00,370,"$85,767.92"
CY2018,2 - CITY,CITY OF ROSEMEAD,171,"$27,915.59",3,$226.00,4,$170.35,178,"$28,311.94"
CY2018,2 - CITY,CITY OF SANTA CLARITA,19,"$7,488.38",1,$10.00,,,20,"$7,498.38"
CY2018,2 - CITY,CITY OF LA QUINTA,64,"$4,693.00",1,$203.91,,,65,"$4,896.91"
CY2018,2 - CITY,CITY OF COVINA,382,"$55,164.66",2,$505.00,2,$45.64,386,"$55,715.30"
CY2018,2 - CITY,CITY OF LIVE OAK,17,"$2,398.15",,,2,$290.76,19,"$2,688.91"
CY2018,2 - CITY,CITY OF ATWATER,40,"$7,769.23",1,$738.00,,,41,"$8,507.23"
CY2018,2 - CITY,CITY OF MADERA,41,"$7,964.25",,,,,41,"$7,964.25"
CY2018,2 - CITY,SAN BERNARDINO MUNICIPAL WATER DEP,235,"$23,587.94",3,$217.92,1,$3.45,239,"$23,809.31"
CY2018,2 - CITY,CITY OF BERKELEY,653,"$122,697.05",6,"$2,490.00",9,$690.34,668,"$125,877.39"
CY2018,2 - CITY,CITY OF WHITTIER,462,"$64,410.50",4,$823.00,10,$674.95,476,"$65,908.45"
CY2018,2 - CITY,CITY OF INGLEWOOD,"10,739","$1,869,391.84",60,"$14,347.81",278,"$25,240.04","11,077","$1,908,979.69"
CY2018,2 - CITY,CITY OF GREENFIELD,26,"$4,060.00",5,"$1,188.00",,,31,"$5,248.00"
CY2018,2 - CITY,CITY OF HUNTINGTON PARK,"1,204","$194,955.52",5,"$1,973.00",14,"$1,536.08","1,223","$198,464.60"
CY2018,2 - CITY,CITY OF TEHACHAPI,4,"$1,040.00",2,$23.00,,,6,"$1,063.00"
CY2018,2 - CITY,COASTAL ANIMAL SERVICE AUTHORITY,56,"$16,452.80",1,"$1,300.00",1,$74.90,58,"$17,827.70"
CY2018,2 - CITY,CITY OF SIGNAL HILL,154,"$19,951.87",4,$120.93,,,158,"$20,072.80"
CY2018,2 - CITY,CITY OF REDONDO BEACH - ADMIN,81,"$20,846.66",2,$18.15,,,83,"$20,864.81"
CY2018,2 - CITY,CITY OF COACHELLA,26,"$4,075.74",1,$107.50,3,$125.99,30,"$4,309.23"
CY2018,2 - CITY,CITY OF INGLEWOOD,"1,590","$290,834.26",2,$259.50,22,"$2,294.33","1,614","$293,388.09"
CY2018,2 - CITY,CITY OF DESERT HOT SPRINGS (CODE),15,"$5,973.00",1,$126.48,,,16,"$6,099.48"
CY2018,2 - CITY,CITY OF CHINO,152,"$26,105.19",1,$97.50,5,$314.50,158,"$26,517.19"
CY2018,2 - CITY,CITY OF LAGUNA BEACH,250,"$21,332.24",1,$154.00,7,$417.59,258,"$21,903.83"
CY2018,2 - CITY,KINGSBURG CITY,4,$200.00,,,,,4,$200.00
CY2018,2 - CITY,CITY OF,7,"$1,394.00",,,,,7,"$1,394.00"
CY2018,2 - CITY,CITY OF BELL GARDENS,355,"$36,716.62",3,$327.00,2,$74.00,360,"$37,117.62"
CY2018,2 - CITY,CITY OF MAYWOOD,354,"$39,767.80",1,$468.00,5,$285.85,360,"$40,521.65"
CY2018,2 - CITY,CITY OF MILLBRAE,60,"$9,359.00",1,$113.00,2,$767.48,63,"$10,239.48"
CY2018,2 - CITY,CITY OF MONTEREY,450,"$44,017.36",9,$596.80,,,459,"$44,614.16"
CY2018,2 - CITY,CITY OF WOODLAND,135,"$16,334.89",1,$108.00,4,$374.91,140,"$16,817.80"
CY2018,2 - CITY,BARBARA CODE CITY OF,1,"$3,000.00",,,,,1,"$3,000.00"
CY2018,2 - CITY,CITY OF CHICO,111,"$10,995.02",2,$250.00,,,113,"$11,245.02"
CY2018,2 - CITY,CITY OF DIAMOND,95,"$13,164.66",4,$244.80,,,99,"$13,409.46"
CY2018,2 - CITY,CITY OF VENTURA,253,"$30,394.53",1,$80.00,7,$566.43,261,"$31,040.96"
